model_position,model_id,n_participants,n_cases,n_points,mae_db,rmse_db,bland_altman_bias_db,bland_altman_lower_loa_db,bland_altman_upper_loa_db,calibration_intercept,calibration_slope,r_squared,mae_db_ci95_low,mae_db_ci95_high,rmse_db_ci95_low,rmse_db_ci95_high,bland_altman_bias_db_ci95_low,bland_altman_bias_db_ci95_high,bland_altman_lower_loa_db_ci95_low,bland_altman_lower_loa_db_ci95_high,bland_altman_upper_loa_db_ci95_low,bland_altman_upper_loa_db_ci95_high,calibration_intercept_ci95_low,calibration_intercept_ci95_high,calibration_slope_ci95_low,calibration_slope_ci95_high,r_squared_ci95_low,r_squared_ci95_high
1,null_training_mean,22,78,2886,9.34623386236289,10.596388340613329,0.003834390931167483,-20.76868455122454,20.776353333086874,82.06041067055178,-4.1036973200487905,-0.003737079191900472,8.632501704744387,10.104316127148639,9.77059190412601,11.428155380368187,-3.128211548964524,3.1774189558520094,-22.27579048240863,-17.815686110104924,15.388910421658231,24.517292610078783,-157.70090992873335,333.1079961542098,-19.667974871716133,10.769630709811292,-0.13235345850153887,0.004336679476489755
2,null_minus_1db_reference,22,78,2886,17.075537075537074,20.085800019898695,-17.075537075537074,-37.80935155232138,3.6582774012472328,8.037768537768546,-8.03776853776853,-2.606471498679256,13.969395003556189,20.166231281957636,17.61522579592256,22.317385350758094,-20.166231281957636,-13.969395003556196,-39.29849387891143,-34.89977134150819,-1.6615303070784937,7.215171489474989,6.484697501778057,9.583115640978777,-9.583115640978814,-6.484697501778105,-4.574748264413254,-1.6779000863896392
3,location_ridge,22,78,2886,7.650230582555122,9.047501764918268,0.003882698107309064,-17.73229218981282,17.740057586027437,0.20190258206102227,0.9872019461482279,0.26825192510293805,6.829068429227199,8.44022101252801,8.20755240311066,9.814412498815383,-3.1374017239542056,2.9950587869806715,-20.21995211493472,-13.963566526063582,13.042934038559276,20.743290858480613,-5.691705915402375,6.642616532323011,0.754347928339442,1.2045387004447932,0.08750895302612055,0.35476985615365847
4,retfound_ridge,22,78,2886,5.652174699992169,7.146321922222311,-0.24548751797348942,-14.246437694535413,13.755462658588435,0.8379045904490808,0.9625764233825437,0.5434699305377557,5.079945782841267,6.272855466558729,6.442189190471896,7.890158608310705,-1.8828255904979654,1.5217606232544765,-15.360366744881278,-12.725510915578063,10.691469815121897,16.496586175231375,-1.9488171990896195,4.127615850256481,0.8515376352690508,1.05777972580848,0.451276307157457,0.6081409869765582
5,location_retfound_ridge,22,78,2886,5.485255655711082,6.9857358322618035,-0.06021551150578536,-13.754121746850043,13.633690723838473,0.41378976789467103,0.977922750100567,0.5637569181014178,4.870507493893452,6.176824325729835,6.223725097143452,7.80249793728073,-1.6839598228989077,1.731329640347645,-14.942393459965805,-12.224536029415644,10.517308377521742,16.46713773771556,-2.3915078583455993,3.9054524320015855,0.8599131465911167,1.075341800753801,0.47049076236365267,0.6325897468076218
