model_position,model_id,stratum,n_participants,n_cases,n_points,mae_db,rmse_db,bland_altman_bias_db,bland_altman_lower_loa_db,bland_altman_upper_loa_db,calibration_intercept,calibration_slope,r_squared,mae_db_ci95_low,mae_db_ci95_high,rmse_db_ci95_low,rmse_db_ci95_high,bland_altman_bias_db_ci95_low,bland_altman_bias_db_ci95_high,bland_altman_lower_loa_db_ci95_low,bland_altman_lower_loa_db_ci95_high,bland_altman_upper_loa_db_ci95_low,bland_altman_upper_loa_db_ci95_high,calibration_intercept_ci95_low,calibration_intercept_ci95_high,calibration_slope_ci95_low,calibration_slope_ci95_high,r_squared_ci95_low,r_squared_ci95_high
1,null_training_mean,baseline_visit,22,41,1517,9.21885547151883,10.430481409543368,-0.3786129616184678,-20.815620893327004,20.058394970090067,106.73035169509753,-5.619264101435188,-0.006839672424762799,8.4553016582807,10.056134931214327,9.563842516045481,11.33785594849851,-3.501980274762531,2.918912063687831,-22.177537432809793,-17.941583990799113,14.294609305878945,24.124534973349412,-126.32014200057007,330.30959724301425,-19.555972929210604,8.83875295885833,-0.16150643470534107,0.0019167812929851416
1,null_training_mean,year_one_visit,20,37,1369,9.487382890054956,10.777248480076713,0.42762740321589626,-20.68685776885937,21.542112575291164,46.35834032123679,-1.907210894597774,-0.0033020291179850503,8.797239543613236,10.2019706346909,9.957159562677477,11.5819713831517,-2.748571479064067,3.507344522642582,-22.42085199603014,-17.619133465260308,16.39231140541954,24.93455445812289,-243.68234005265808,353.5324531077018,-20.909876262682975,16.15206157103494,-0.13077096786121295,0.006376702920491151
1,null_training_mean,minus_1db_floor,16,49,533,17.12076324428803,17.121855870250457,17.12076324428803,16.74128830060224,17.500238187973824,-0.999999999999998,1.387912076534226e-17,,16.988632332553465,17.21973791845979,16.99010898698884,17.220017862110428,16.988632332553465,17.21973791845979,16.515981858734357,17.02177413137348,17.324983300409414,17.59332196656915,-1.000000000000009,-0.9999999999999919,-5.109616216105874e-16,5.691102433661858e-16,,
1,null_training_mean,above_floor,22,78,2353,7.585152621153328,8.444635780082205,-3.873480984691099,-18.58418639632994,10.837224426947742,30.999620706441647,-0.68799921833293,-0.26896284643237034,6.97145563554624,8.142925974093641,7.954973843931705,8.862928112947893,-5.868694918133695,-1.6466485799869621,-19.29075520338018,-17.11072238225248,6.855990876812518,14.10360999216157,-146.41461616235338,197.7552818295322,-11.102569559416066,10.405696431290925,-0.8168379741662855,-0.04590810713552817
2,null_minus_1db_reference,baseline_visit,22,41,1517,17.445616348055374,20.307767120129316,-17.445616348055374,-37.82652087769263,2.935288181581882,8.22280817402773,-8.222808174027687,-2.816593988579092,14.349885871183302,20.587853194103193,17.900576996606237,22.522570903604805,-20.587853194103193,-14.349885871183302,-39.20968975710996,-35.16946992919547,-2.78778549808676,6.904773755104029,6.674942935591664,9.793926597051605,-9.793926597051591,-6.674942935591638,-5.138466077382624,-1.7693346616596377
2,null_minus_1db_reference,year_one_visit,20,37,1369,16.6654492330168,19.83693568903838,-16.6654492330168,-37.761773753466834,4.430875287433231,7.832724616508417,-7.8327246165084246,-2.3991088257847695,13.567428457869635,19.811995667916715,17.336758914251373,22.12619255966568,-19.81199566791672,-13.567428457869637,-39.48607455421846,-34.58056067847544,-0.7190353764547469,7.8343038562123795,6.283714228934817,9.405997833958375,-9.405997833958352,-6.28371422893482,-4.135955903079548,-1.5623819949833584
2,null_minus_1db_reference,minus_1db_floor,16,49,533,0.0,0.0,0.0,0.0,0.0,-0.4999999999999998,0.49999999999999895,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000002,-0.4999999999999997,0.49999999999999883,0.500000000000001,,
2,null_minus_1db_reference,above_floor,22,78,2353,20.943476413089673,22.244688789585624,-20.943476413089673,-35.6396693847225,-6.247283441456844,9.971738206544737,-9.971738206544847,-7.805210220696363,18.75049670846862,22.864245120232514,20.372874211342882,23.778398087308478,-22.864245120232514,-18.75049670846862,-36.32986645492225,-34.10520579098127,-10.12809735939067,-3.005804196131358,8.87524835423431,10.9321225601162,-10.932122560116259,-8.875248354234316,-12.418624477826148,-5.454849272740089
3,location_ridge,baseline_visit,22,41,1517,7.72624050808314,9.126208108551292,-0.3816927311841519,-18.259302605545876,17.49591714317757,1.907169814743809,0.9050370806072862,0.22921660718729298,6.850071758453137,8.64714488260118,8.1971926541318,10.035166931432617,-3.585346110911692,2.8366075844530863,-20.495643197504197,-14.47407306960651,12.062785651803447,21.051095969091328,-4.06812878278193,8.186709507007796,0.6888443947053853,1.124244815882598,0.011882441383343914,0.3294684062951039
3,location_ridge,year_one_visit,20,37,1369,7.566003367780834,8.95947909088387,0.43114195759244217,-17.115502832178667,17.97778674736355,-1.6938607574406295,1.0784463483538616,0.3066038610974523,6.674965238568956,8.36397224486175,8.08046795670332,9.694751558007695,-2.5602842341793277,3.509101462069228,-19.819105025281125,-12.839104269050543,13.702656799314452,20.636948566502856,-7.911421905793625,4.7434161621327116,0.8398709141359955,1.318853611230775,0.15714574727286248,0.39454788183535905
