model_id,outer_fold,n_points,mae_db,rmse_db,bland_altman_bias_db,bland_altman_lower_loa_db,bland_altman_upper_loa_db
null_training_mean,1,444,9.545961324055206,10.769959728540218,-1.1091749644381201,-22.12973584237294,19.911385913496698
null_training_mean,2,370,9.376574141709277,10.994125552227636,1.9074324324324354,-19.342999416794928,23.1578642816598
null_training_mean,3,333,8.896739851255342,10.345006461240006,-0.9886471837691341,-21.202428341396413,19.225133973858142
null_training_mean,4,333,8.28154984252545,9.732568174786396,-0.9227276056544331,-19.94121292707976,18.095757715770894
null_training_mean,5,370,7.206143170197223,8.905901331390913,1.1202702702702716,-16.220094418885456,18.460634959426
null_minus_1db_reference,1,444,19.31756756756757,22.089141680476864,-19.31756756756757,-40.33812844550239,1.7029933103672512
null_minus_1db_reference,2,370,16.94864864864865,20.111916596614783,-16.94864864864865,-38.19908049787601,4.301783200578711
null_minus_1db_reference,3,333,19.285285285285287,21.862386968580626,-19.285285285285287,-39.499066442912564,0.9284958723419905
null_minus_1db_reference,4,333,19.23123123123123,21.53396646490636,-19.23123123123123,-38.24971655265656,-0.21274590980590347
null_minus_1db_reference,5,370,17.57837837837838,19.673826761956086,-17.57837837837838,-34.91874306753411,-0.23801368922265098
location_ridge,1,444,7.678485227989192,9.095152701715401,-1.1078184750721383,-18.821545674509142,16.605908724364863
location_ridge,2,370,8.190223286863187,9.586735913685642,1.893620466292029,-16.551120485847047,20.338361418431102
location_ridge,3,333,7.465124631920532,8.856510061075356,-0.9749560042214832,-18.25417933354531,16.304267325102344
location_ridge,4,333,7.206742815734716,8.435315195352587,-0.925617370228486,-17.38372642470999,15.532491684253017
location_ridge,5,370,5.572865470448768,7.363931073505118,1.1237674659225936,-13.159800695365819,15.407335627211006
boundary_linear,1,444,6.396134171979771,7.534483134492555,-0.5909638602378098,-15.329662764887784,14.147735044412164
boundary_linear,2,370,6.206979071805995,7.686761241374154,2.673947226619245,-11.470281573754104,16.818176026992596
boundary_linear,3,333,10.154723539186245,11.913567391306815,-5.639297990275681,-26.239180264425983,14.960584283874622
boundary_linear,4,333,5.986909105762246,7.042119122189275,-0.3704615161243435,-14.174645426240023,13.433722393991335
boundary_linear,5,370,5.179425662666972,6.289810507258585,-0.05827025324554934,-12.402462430868306,12.285921924377208
boundary_ridge,1,444,6.727345689381284,7.991026045994307,-0.45444460250965896,-16.10914715091368,15.200257945894364
boundary_ridge,2,370,6.146590725444546,7.6643782072108895,2.4846430264690342,-11.74551127092274,16.71479732386081
boundary_ridge,3,333,10.154582077550634,11.913330821453897,-5.63937778928908,-26.23864871039661,14.959893131818449
boundary_ridge,4,333,6.07326528902678,7.154452632481074,-0.3988911881717534,-14.420876161307417,13.623093784963912
boundary_ridge,5,370,4.99707711371072,6.097546523038162,0.19262845709071658,-11.768772585444763,12.154029499626196
location_boundary_ridge,1,444,6.431049625316463,7.637321855428142,-0.998552126279191,-15.855946246624345,13.858841994065962
location_boundary_ridge,2,370,6.042509710905051,7.579084260683261,2.3800074947905214,-11.74265993324719,16.502674922828234
location_boundary_ridge,3,333,10.016403262586707,11.6930097338886,-5.494488618153071,-25.755425495962776,14.766448259656634
location_boundary_ridge,4,333,6.079543690679694,7.1667620264779135,-0.6638291810221545,-14.671342917805184,13.343684555760873
location_boundary_ridge,5,370,4.8684802997206,6.07757034848443,0.21484604342389224,-11.70586643528726,12.135558522135044
location_boundary_random_forest,1,444,4.770306438633159,6.076938701139632,-0.5906627069656472,-12.458438524672395,11.277113110741102
location_boundary_random_forest,2,370,4.942870029495908,6.592241578561962,1.674452043906182,-10.839504446137617,14.188408533949982
location_boundary_random_forest,3,333,7.592207919932782,8.995329796011616,-4.061979782224953,-19.816564551254405,11.692604986804497
location_boundary_random_forest,4,333,4.428945637851541,5.694129884080243,0.1931152805658349,-10.977744642854578,11.363975203986246
location_boundary_random_forest,5,370,3.7860979016185707,4.908425829553124,-0.6152887806173224,-10.172842389009286,8.942264827774643
boundary_aligned_retfound_ridge,1,444,5.5131693530727075,6.703175369941594,-0.37298452961552253,-13.50565097804702,12.759681918815977
boundary_aligned_retfound_ridge,2,370,6.031207520252949,7.77933338701178,3.7468560270360998,-9.63365176568589,17.127363819758088
boundary_aligned_retfound_ridge,3,333,4.6913393295563015,6.252429194466303,0.9793055794976495,-11.14241775254428,13.10102891153958
boundary_aligned_retfound_ridge,4,333,5.322597538028751,6.308724312818422,-1.7258924363969683,-13.637179511694573,10.185394638900636
boundary_aligned_retfound_ridge,5,370,4.870030346432248,5.9806263560074395,-1.8216647689406935,-13.001805759581504,9.35847622170012
location_boundary_retfound_ridge,1,444,5.397604107844415,6.542758855272681,-0.17255489138817715,-13.00636226010294,12.661252477326585
location_boundary_retfound_ridge,2,370,5.808178809761477,7.5138285119204085,3.5480883881243575,-9.451244692793798,16.54742146904251
location_boundary_retfound_ridge,3,333,8.169495167960324,9.649878016947588,-4.010852936970498,-21.23937916410258,13.217673290161585
location_boundary_retfound_ridge,4,333,5.077227568263012,6.10295230044472,-1.4673571251000814,-13.095723666953674,10.161009416753512
location_boundary_retfound_ridge,5,370,4.483289201735697,5.582307539923783,-1.4562407632092897,-12.033019622899968,9.120538096481386
