model_position,model_id,stratum,n_participants,n_cases,n_points,mae_db,rmse_db,bland_altman_bias_db,bland_altman_lower_loa_db,bland_altman_upper_loa_db,calibration_intercept,calibration_slope,r_squared,mae_db_ci95_low,mae_db_ci95_high,rmse_db_ci95_low,rmse_db_ci95_high,bland_altman_bias_db_ci95_low,bland_altman_bias_db_ci95_high,bland_altman_lower_loa_db_ci95_low,bland_altman_lower_loa_db_ci95_high,bland_altman_upper_loa_db_ci95_low,bland_altman_upper_loa_db_ci95_high,calibration_intercept_ci95_low,calibration_intercept_ci95_high,calibration_slope_ci95_low,calibration_slope_ci95_high,r_squared_ci95_low,r_squared_ci95_high
1,null_training_mean,baseline_visit,7,13,481,7.093951177244031,7.805290809356801,-5.203560858182164,-16.618105212382844,6.210983496018515,113.43744313960555,-5.21314660721967,-0.8373538174348516,6.123193412975877,7.783936700862416,7.006269777232193,8.34608008315801,-7.00500679021218,-3.154068675313861,-17.716838043431533,-14.80996441079544,0.9912074770224404,9.582015553528876,-228.41057890583102,304.2977132929303,-16.18923170272096,14.562325401623717,-3.045455051517475,-0.26121235462080317
1,null_training_mean,year_one_visit,20,37,1369,9.263836512096825,10.926595597596254,1.8219147433871816,-19.30211793057693,22.945947417351295,46.08180148873554,-1.7393331720412684,-0.031301472905900685,8.340099636119685,10.209792420107647,9.761642118038306,12.011206576818136,-1.335971602298702,4.922490395011116,-21.062387802051294,-16.219431719521094,17.786384494184457,26.337680159895626,-188.0005425465839,267.18240635935086,-14.374382265410224,11.668960515004768,-0.21227040374968958,0.005912541652590365
1,null_training_mean,minus_1db_floor,15,27,278,18.466403894197207,18.468348569990724,18.466403894197207,17.940168826843745,18.992638961550668,-0.9999999999999972,-1.3032305111022285e-16,,18.31154807965596,18.638410517457377,18.312115086465017,18.640369133975355,18.31154807965596,18.638410517457377,17.882843019036414,18.133047590414765,18.615595593254685,19.163281614688824,-1.0000000000000069,-0.9999999999999929,-3.426793929784723e-16,3.40170539958447e-16,,
1,null_training_mean,above_floor,22,50,1572,6.9724697320153375,7.892773950228851,-3.271228862388926,-17.354314347706357,10.811856622928506,105.09844684381777,-4.828522922609165,-0.22406597162381514,6.356792215320489,7.450494509378154,7.388875334911782,8.278870263104437,-5.0669898874448,-1.071150116636585,-18.1012722687424,-15.885037008920179,7.032808821144586,14.28044372505555,-21.615370973324215,263.51207523557275,-13.933453588393428,2.4038726667125014,-0.68949168725262,-0.030706644835283174
2,null_minus_1db_reference,baseline_visit,7,13,481,23.623700623700625,24.31536564061923,-23.623700623700625,-34.92167749875048,-12.325723748650766,11.311850311850327,-11.311850311850318,-16.831021678396795,21.655381274131276,25.370693495693494,22.539362657867436,25.69688452055241,-25.370693495693494,-21.655381274131276,-36.069468695331736,-33.00192296771191,-17.45853995253599,-9.01158007886016,10.327690637065633,12.185346747846765,-12.18534674784674,-10.327690637065631,-39.70061436395419,-11.125942006550055
2,null_minus_1db_reference,year_one_visit,20,37,1369,16.6654492330168,19.83693568903838,-16.6654492330168,-37.761773753466834,4.430875287433231,7.832724616508412,-7.83272461650842,-2.39910882578477,13.567428457869635,19.811995667916715,17.336758914251373,22.12619255966568,-19.81199566791672,-13.567428457869637,-39.48607455421846,-34.58056067847544,-0.7190353764547469,7.8343038562123795,6.283714228934817,9.405997833958335,-9.40599783395835,-6.28371422893482,-4.135955903079548,-1.5623819949833562
2,null_minus_1db_reference,minus_1db_floor,15,27,278,0.0,0.0,0.0,0.0,0.0,-0.5000000000000002,0.4999999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000002,-0.49999999999999967,0.4999999999999993,0.5000000000000006,,
2,null_minus_1db_reference,above_floor,22,50,1572,21.74173027989822,22.882207495067608,-21.74173027989822,-35.72863131306125,-7.75482924673519,10.370865139949192,-10.370865139949133,-9.28824586566018,19.596817494472162,23.427349187693572,21.077409622061907,24.23730587991561,-23.427349187693572,-19.596817494472162,-36.4434938019141,-34.302310245674114,-11.369942016783781,-4.256824901786372,9.298408747236108,11.213674593846804,-11.213674593846783,-9.298408747236087,-14.607646294880556,-6.270274498686842
3,location_ridge,baseline_visit,7,13,481,6.1674546029028425,7.367321497022516,-5.199636001087102,-15.440136896145525,5.040864893971321,12.08450632568723,0.6048642797350104,-0.6369441529639157,4.933610817065161,7.38542215482614,6.11014905022276,8.477282257435075,-6.984833225255701,-3.1882525977999046,-16.65915236276483,-13.352287283557807,2.2652449817283125,7.37087423752883,6.808075153857902,17.60384454486802,0.3699303940820519,0.8322519687413856,-3.3537396579192187,0.12022057023089017
3,location_ridge,year_one_visit,20,37,1369,7.611962364868923,9.145543550684984,1.820815277442248,-15.752015705405261,19.393646260289756,-4.013756123983893,1.12540933743911,0.2775048388114476,6.528512888670739,8.628447861459973,8.064708589911051,10.091435842479358,-1.1960562913027715,4.867430157587582,-18.449040937109928,-11.512712770482278,15.082255210281565,22.080577577642558,-10.740955496277309,2.9953616386875437,0.868438449207971,1.3795235879471952,0.144908855126472,0.36670036782745047
3,location_ridge,minus_1db_floor,15,27,278,13.752088042933883,14.086814495618418,13.752088042933883,7.758185772197063,19.745990313670703,-0.9999999999999994,1.2133384977269133e-17,,13.030340251465525,14.269144175823348,13.299995946649714,14.634101155996468,13.030340251465525,14.269144175823348,7.1190942853859775,8.228485052515326,18.201204855476643,20.771594363011292,-1.000000000000001,-0.999999999999999,-4.7148598117073124e-17,5.107956305845981e-17,,
3,location_ridge,above_floor,22,50,1572,6.084123196925068,7.372584620804786,-2.437283255496233,-16.079428447568006,11.204861936575538,10.750418972655874,0.5458406524885887,-0.06803387480100276,5.0912544316061075,6.9706297525052126,6.4058163147015215,8.168892498508281,-4.48430429906677,0.09626153153427255,-17.81667739047532,-13.298727261816875,7.734829030650579,14.663200027413088,5.12738297528804,15.456971010007601,0.3583946773690276,0.754568009979654,-0.6542183172966823,0.2185415270547011
4,boundary_linear,baseline_visit,7,13,481,5.43768684886245,6.901197972665252,-3.5308644280777934,-15.164876775631873,8.103147919476287,13.427141093745517,0.48167592471481435,-0.43636095439976086,4.276776834644144,7.056038999206672,5.292985594194243,8.84911615258176,-5.404087280037908,-2.0268213312388568,-19.216863072533584,-11.600497668153123,5.487790443723793,10.038012301035174,7.448359445471768,19.641307350597,0.23819434656744531,0.7499828460976683,-3.4804797540511117,0.31056759171067505
