model_id,outer_fold,n_points,mae_db,rmse_db,bland_altman_bias_db,bland_altman_lower_loa_db,bland_altman_upper_loa_db
null_training_mean,1,592,10.28962451989915,11.37158297214011,0.22253705318221698,-22.080342159659423,22.52541626602386
null_training_mean,2,592,9.659857383538727,10.952383565573436,1.210712728857889,-20.142438816761057,22.563864274476835
null_training_mean,3,555,9.849690617258187,11.104787501698338,0.7426855426855422,-20.993557216377155,22.47892830174824
null_training_mean,4,555,8.840070958989877,9.985878432638563,-1.97889317889318,-21.180359788190565,17.222573430404204
null_training_mean,5,592,8.091756697848677,9.435027800640281,-0.25561246730601406,-18.757112064657647,18.245887130045617
null_minus_1db_reference,1,592,16.89864864864865,20.367319477601924,-16.89864864864865,-39.20152786149029,5.404230564192993
null_minus_1db_reference,2,592,16.113175675675677,19.44539304850408,-16.113175675675677,-37.46632722129462,5.239975869943269
null_minus_1db_reference,3,555,16.475675675675674,19.8547881533048,-16.475675675675674,-38.21191843473837,5.2605670833870235
null_minus_1db_reference,4,555,18.673873873873873,21.083531851075506,-18.673873873873873,-37.87534048317126,0.5275927354235108
null_minus_1db_reference,5,592,17.278716216216218,19.685234211102134,-17.278716216216218,-35.78021581356785,1.2227833811354145
location_ridge,1,592,8.061024684097369,9.461809083802118,0.22032958977733816,-18.335466255073623,18.7761254346283
location_ridge,2,592,8.399598719197492,9.633990242625057,1.1984046499986347,-17.55339889121623,19.950208191213502
location_ridge,3,555,7.789342832547865,9.28276433784813,0.7568210955426358,-17.393185577179676,18.90682776826495
location_ridge,4,555,7.433669986410656,8.57870557349859,-1.9818518252798307,-18.356030654839948,14.392327004280288
location_ridge,5,592,6.562676168887738,8.181443738571158,-0.25133977737421986,-16.292955196669546,15.790275641921106
retfound_ridge,1,592,5.527499442164962,7.156528278225891,0.6623173452712394,-13.316090212983665,14.640724903526143
retfound_ridge,2,592,5.832969135529286,7.444136412235146,1.5067226097390458,-12.793875493132067,15.807320712610156
retfound_ridge,3,555,5.951990665401424,7.723035368353612,1.809626410888122,-12.919389461744363,16.538642283520606
retfound_ridge,4,555,5.693492336960526,6.875883026148356,-2.570027075587092,-15.081237627241368,9.941183476067184
retfound_ridge,5,592,5.276242770053245,6.488021964372192,-2.6529159819757617,-14.267596002850041,8.961764038898519
location_retfound_ridge,1,592,5.491348368877354,7.00410159300762,0.7759288585633488,-12.879148258974562,14.43100597610126
location_retfound_ridge,2,592,5.666160382069634,7.251615299166554,1.4380501527979135,-12.504620999420016,15.380721305015843
location_retfound_ridge,3,555,5.733639214124859,7.582633573091048,1.9623671513358178,-12.40622160551971,16.330955908191346
location_retfound_ridge,4,555,5.531310414660926,6.79510137776136,-2.3824779827499367,-14.866662716435776,10.101706750935904
location_retfound_ridge,5,592,5.0222222936578635,6.250497792634437,-2.1136757255012295,-13.652674359022585,9.425322908020126
