model_position,model_id,n_participants,n_cases,n_points,mae_db,rmse_db,bland_altman_bias_db,bland_altman_lower_loa_db,bland_altman_upper_loa_db,calibration_intercept,calibration_slope,r_squared,mae_db_ci95_low,mae_db_ci95_high,rmse_db_ci95_low,rmse_db_ci95_high,bland_altman_bias_db_ci95_low,bland_altman_bias_db_ci95_high,bland_altman_lower_loa_db_ci95_low,bland_altman_lower_loa_db_ci95_high,bland_altman_upper_loa_db_ci95_low,bland_altman_upper_loa_db_ci95_high,calibration_intercept_ci95_low,calibration_intercept_ci95_high,calibration_slope_ci95_low,calibration_slope_ci95_high,r_squared_ci95_low,r_squared_ci95_high
1,null_training_mean,22,50,1850,8.6996663250351,10.207293000711157,-0.004708913020849108,-20.01641036455195,20.006992538510254,85.22039054833806,-3.8778614347315425,-0.00564535664073107,7.831724547045657,9.704396160819602,9.141904202230151,11.410890118687421,-2.722166372226974,3.292348948756204,-21.242066113784045,-17.492831788301284,14.739980256765941,24.63531791318913,-128.5709406157461,306.734353021853,-16.50342631603759,8.286016037649325,-0.131983206967485,0.004918653279546647
2,null_minus_1db_reference,22,50,1850,18.474594594594596,21.092998710344496,-18.474594594594596,-38.43004961940251,1.4808604302133155,8.737297297297323,-8.737297297297303,-3.2943787201356525,15.28286638939781,21.22168918918919,18.67392075256902,23.030744841706667,-21.22168918918919,-15.28286638939782,-39.55374077064059,-36.03481725792342,-3.833307978384583,5.844032107683525,7.141433194698892,10.110844594594532,-10.110844594594585,-7.1414331946989,-5.756054880924394,-2.0089177523437614
3,location_ridge,22,50,1850,7.236390346757742,8.718167595903365,-0.004502054975383,-17.09672840965001,17.087724299699243,0.22221998897087814,0.9875376771186682,0.2663750093840448,6.233911307433314,8.282046902448224,7.735983561225758,9.718544475096323,-2.814842687778808,3.0967188320821584,-19.191631099668268,-13.823182837641404,12.34183503345863,20.869645318624958,-6.9183290171418665,6.981912743510124,0.7404701991127941,1.250088083322928,0.0873581432693533,0.35280190994904215
4,boundary_linear,22,50,1850,6.717847024260467,8.23580250698543,-0.7004526429343397,-16.788486471868946,15.387581186000267,4.142986003607983,0.7947714183775048,0.3453102561820667,5.541899200495394,8.133728832872336,6.775919123864063,9.838058631638113,-2.98390015566946,1.5971827813995396,-21.000342766007677,-12.796252905289395,12.368059027029854,18.107764081165545,-1.9367917880237988,10.200286398182284,0.5579484587625883,1.0476962556635532,-0.002907260535890602,0.5237045757613148
5,boundary_ridge,22,50,1850,6.7643090592664965,8.32289424399628,-0.6605008238333183,-16.926320486514427,15.605318838847792,3.173207292279128,0.8505595066434535,0.3313906549084489,5.6149745240699165,8.21344712732431,6.873787728494628,9.931039207287517,-3.074757838642748,1.8499809120417754,-21.038447665600525,-12.863708809516183,12.197128946902636,18.587866056168536,-4.311141711628229,10.194896976788797,0.5551175045438475,1.178618252977327,-0.031509993855647705,0.5094405477962823
6,location_boundary_ridge,22,50,1850,6.622920363789034,8.168890510250161,-0.8291790065156638,-16.76181547003162,15.103457457000294,3.716569485009484,0.8265353926902441,0.35590512997319457,5.497709921732552,8.022794720590788,6.779226172071356,9.729431699243102,-3.1625519457798053,1.6106961801190924,-20.870017156514482,-12.927094948542802,11.887035856879358,17.973956932619117,-2.6367806635545423,10.051081130452983,0.5718448777298585,1.0816319017824103,-0.008516861426001133,0.524353800049747
7,location_boundary_random_forest,22,50,1850,5.0544747718960314,6.540190820999749,-0.626322007312625,-13.389630444500487,12.136986429875236,0.042551332755653565,1.034648695973594,0.5871383637216032,4.218569621161873,6.04084284893698,5.54707209490272,7.5901627676927435,-2.5798813848739464,1.4992656261231914,-16.173757763054933,-10.575505141266227,9.120155486290516,14.669965493372034,-4.414246944516256,4.78858770497938,0.8621463425547099,1.1940431265423892,0.3860967575594747,0.6889197704257228
8,boundary_aligned_retfound_ridge,22,50,1850,5.305916854239799,6.651444618471113,0.16113633026947846,-12.875392845240235,13.197665505779192,0.05338523918602122,0.9878359694662252,0.5729726919552417,4.685591580497252,6.005561804553179,5.885142438060393,7.496407620386328,-1.37805250750864,1.8998508609311202,-14.116246411575123,-11.345762542310512,10.200720944780178,15.90038036655025,-3.9115078461192048,4.140069500769816,0.8301685221938655,1.1618516203474563,0.4833230580182997,0.631671114776915
9,location_boundary_retfound_ridge,22,50,1850,5.738128680702296,7.159868207919215,-0.6091214601228535,-14.595367274097685,13.377124353851977,1.9106384077576986,0.9228295027801721,0.5051953794191955,4.924618340994034,6.708160501888478,6.1317555874123455,8.273760780125208,-2.658181050834855,1.4692655535736387,-17.515968475305446,-11.594889584237094,10.490726872381325,15.874517657459675,-2.53459902376072,6.710980092527998,0.7451465393586945,1.1026198603213646,0.2870886586630576,0.6234777871244314
